customer_id,age,gender,income,location,joined_date,email,phone,total_spent,purchase_frequency,last_purchase_days,preferred_category
C0082,65,M,17490,Theresaton,2024-04-22,reyesbriana@example.org,(408)386-7107,395,3,15,Home
C0083,32,F,7813,East Vanessa,2024-09-27,brittany40@example.net,+1-230-296-1539x27070,1706,1,257,Beauty
C0084,25,F,17703,East Kathleen,2024-05-09,kwolf@example.com,001-649-280-0839x72797,26,3,135,Fashion
C0085,31,M,25763,Schneidertown,2022-02-22,mary29@example.com,+1-443-398-5852x7547,351,6,1,Electronics
C0086,40,M,12190,Lorimouth,2022-11-15,macdonaldjames@example.org,(851)411-5037,633,3,49,Electronics
C0087,57,F,23702,Mariabury,2021-02-16,jdickerson@example.org,(299)419-1342x43840,992,2,96,Fashion
C0088,38,F,21891,East Gwendolynfort,2025-06-28,franklinmelissa@example.org,5466165601,98,1,201,Fashion
C0089,33,F,27770,South Karen,2024-12-31,hmurphy@example.org,998.390.7443,804,4,26,Fashion
C0090,62,M,23105,Nataliefurt,2022-10-15,lchristensen@example.net,+1-688-269-4984,402,4,343,Electronics
C0091,35,F,14924,South Drew,2020-11-04,kwilliams@example.com,001-708-432-7675x07960,252,3,235,Home
C0092,64,M,35547,Christophermouth,2023-02-21,reevesjennifer@example.net,572.671.3136,70,1,349,Electronics
C0093,41,M,20673,Gonzalezville,2024-09-29,kpadilla@example.net,863.687.1555,1002,4,244,Electronics
C0094,43,M,21787,Henrystad,2024-06-25,brightjames@example.net,(411)592-3797x03330,85,2,358,Fashion
C0095,42,F,15164,Lake Joanburgh,2023-01-27,yfoster@example.org,617-379-3485x724,185,4,327,Electronics
C0096,62,F,18447,Mitchellborough,2022-02-19,chadhooper@example.org,+1-397-456-0422,171,1,351,Home
C0097,58,F,15461,North Whitneybury,2020-08-27,timothy03@example.org,001-251-407-5230x186,1025,5,51,Fashion
C0098,46,M,20554,Lopezville,2025-02-22,harrisdebra@example.com,(261)230-2161x8993,558,3,81,Fashion
C0099,32,F,43681,Sullivanberg,2023-05-16,gramirez@example.com,001-912-521-4672x6925,796,1,36,Fashion
C0100,62,M,12723,South Jessica,2023-05-10,joneskathryn@example.org,(835)245-2420,144,2,67,Electronics
C0101,18,F,11551,Amymouth,2022-04-29,erin73@example.net,4519742070,490,1,129,Electronics
C0102,42,M,39674,New Stevenport,2020-12-25,patriciagreen@example.net,679-218-2289,424,5,155,Beauty
C0103,24,M,20257,Sullivanbury,2024-06-14,hcline@example.com,001-503-541-8085x895,894,1,245,Fashion
C0104,26,M,16854,Jamesberg,2023-04-28,mooreluis@example.org,001-869-640-1060x7266,1182,3,111,Fashion
C0105,41,M,33388,South Ryanbury,2024-05-28,joshua89@example.org,874-860-0583x33427,6,2,168,Electronics
C0106,18,F,17287,Barronport,2025-01-16,myersguy@example.org,211-797-3727,560,3,142,Fashion
C0107,61,F,45725,North Barryport,2025-03-11,angela98@example.com,799.262.4434x65748,26,2,356,Home
C0108,25,M,28887,Tonyamouth,2021-09-01,csharp@example.com,+1-327-493-9161,397,5,197,Home
C0109,41,F,18121,Williamport,2024-02-01,scott80@example.com,001-656-276-7650x9154,169,4,109,Home
C0110,28,M,52204,Murphyfurt,2022-04-22,harrisrobert@example.com,(470)524-6204x6142,183,5,79,Electronics
C0111,68,F,17287,Brandiburgh,2023-11-30,michael64@example.net,001-443-664-9812x756,217,2,161,Electronics
C0112,34,F,29638,Lake Wesley,2024-03-16,cherylmurphy@example.org,001-877-229-2869x85376,485,3,19,Beauty
C0113,25,F,24827,Mayofort,2025-06-25,brownmichelle@example.com,9536514340,203,2,127,Sports
C0114,52,M,37074,East Hunter,2023-11-07,amandawilkinson@example.net,7356485545,659,1,205,Electronics
C0115,52,F,41134,Port Larry,2024-01-19,gallowayjustin@example.org,319-341-5565,259,3,29,Fashion
C0116,50,F,22310,South Stephen,2024-07-07,cochranmark@example.com,436.870.1480,35,1,207,Electronics
C0117,22,M,16295,North Richardmouth,2021-05-07,jorge17@example.org,875.485.3614x2407,765,7,280,Electronics
C0118,59,M,26475,West Andrew,2021-04-19,ejohnson@example.org,001-821-621-3170x724,168,6,151,Fashion
C0119,56,F,16796,West Derek,2024-09-11,barryamanda@example.net,496.508.1682x8261,283,3,240,Electronics
C0120,58,F,49284,Bellstad,2022-08-25,vpatton@example.net,+1-875-318-7826x798,578,4,266,Home
C0121,45,F,23262,Johnfurt,2022-08-06,jessica97@example.com,+1-624-491-0763x07389,202,1,182,Fashion
C0122,24,F,19031,Hudsonberg,2020-10-29,laurendickerson@example.net,001-236-428-1250x962,29,1,105,Electronics
C0123,26,F,23715,South Susanshire,2024-12-26,pramos@example.net,001-856-945-9695x5684,234,2,236,Electronics
C0124,25,M,12850,Lucasport,2023-12-03,sthomas@example.net,440-790-8999,1445,3,173,Beauty
C0125,29,M,14933,Douglaschester,2023-03-18,yrhodes@example.com,(380)907-3543x612,513,3,158,Electronics
C0126,51,M,35602,Lake Kristy,2022-07-27,jonesdaniel@example.com,+1-330-881-0079x928,556,1,172,Home
C0127,50,F,16936,Danielchester,2022-09-01,stephen38@example.com,406-812-0346,500,4,311,Fashion
C0128,65,M,14490,Brownshire,2023-03-27,phowell@example.org,564.738.4099x00360,110,1,157,Home
C0129,40,F,27300,Larsontown,2022-01-15,mirandasherry@example.com,892-230-7424x6663,270,3,258,Fashion
C0130,41,F,35393,Port Donna,2022-11-23,bennettsusan@example.net,+1-211-481-8751x631,695,3,164,Electronics
C0131,54,F,29365,Franciscoborough,2025-04-01,trobinson@example.com,+1-272-226-3383,53,1,147,Electronics
C0132,52,M,32807,New Lisa,2020-12-15,plawrence@example.com,877-874-4202,162,2,154,Electronics
C0133,61,F,16273,East Michellemouth,2023-01-22,joelthomas@example.net,(592)307-5129x713,161,4,38,Fashion
C0134,57,M,12472,Faithbury,2022-11-27,robert25@example.org,+1-655-509-2527x4278,18756,67,131,Home
C0135,39,F,40156,North Kennethstad,2022-03-31,vbowman@example.org,318.861.1787x7064,1965,0,358,Electronics
C0136,44,M,19359,West Jaimeshire,2020-11-15,ewingpam@example.com,+1-466-962-0345x92595,29968,92,255,Electronics
C0137,52,M,19923,Katiemouth,2021-11-17,matthewtownsend@example.org,6504862280,365,0,208,Fashion
C0138,18,F,37469,Cynthiaberg,2022-10-28,xkeller@example.com,+1-811-417-5096,44192,62,95,Home
C0139,52,M,27515,Zacharyview,2022-03-10,charles55@example.com,(879)464-0125,23305,57,348,Sports
C0140,54,M,26432,New Christymouth,2022-03-04,richard91@example.org,+1-830-487-6745x09640,60,1,327,Home
C0141,64,F,52365,East Kristopher,2021-08-14,parksmichelle@example.com,+1-229-693-3999x1605,258,5,171,Fashion
C0142,31,F,17027,Johnberg,2021-10-04,elizabethrodgers@example.com,9817539845,669,4,250,Home
C0143,20,F,31924,South Kylechester,2025-03-29,donaldsondavid@example.org,+1-617-747-7870,609,4,190,Sports
C0144,18,F,22534,East Johnnybury,2021-03-18,palmerjason@example.com,+1-340-515-4658x8560,274,3,199,Beauty
C0145,22,F,24524,Myerstown,2025-08-11,christopher69@example.com,001-431-800-5904,212,6,221,Fashion
C0146,43,M,40594,Connorbury,2021-09-11,tamarahill@example.org,001-450-551-5885x042,253,2,24,Electronics
C0147,31,M,26987,Francesberg,2025-02-05,michellehaynes@example.org,931-740-0948,153,4,244,Electronics
C0148,56,M,27318,East Megan,2024-02-03,zbeltran@example.org,001-796-464-9084,114,2,324,Fashion
C0149,44,F,33826,North John,2025-08-10,keith88@example.org,6572033174,329,5,128,Home
C0150,26,F,19034,Port Taylorland,2023-09-14,harryvasquez@example.org,787.210.1344,156,3,93,Fashion
C0151,32,M,15745,Murphyton,2025-07-18,scottarias@example.com,+1-747-460-8843x899,169,3,300,Electronics
C0152,32,M,14502,East Shanechester,2021-02-25,bsoto@example.com,(803)810-4589,534,3,133,Home
C0153,43,F,10031,West Elizabeth,2022-10-28,chelseaserrano@example.com,400.445.6339,1729,1,55,Beauty
C0154,59,M,50135,Henryberg,2024-10-06,elizabeththompson@example.com,001-920-420-4649x208,36014,88,158,Electronics
C0155,30,F,14167,Leefort,2022-08-30,russelledwin@example.com,305-846-2473x1697,40,6,29,Home
C0156,68,F,20160,East Todd,2024-08-26,bailey92@example.net,537-858-0518x7988,39,3,211,Fashion
C0157,49,F,19717,Lake David,2023-12-09,lori33@example.net,507.700.6680x2802,1512,1,154,Beauty
C0158,56,M,24908,Arnoldland,2025-04-23,shawn02@example.net,570.820.8205x4108,176,3,293,Beauty
C0159,66,F,30524,Wagnerstad,2021-08-13,oflores@example.org,312-468-4993x6257,48,3,222,Fashion
C0160,69,F,31075,Hodgesburgh,2023-06-29,clinton01@example.com,001-202-751-3817x794,456,2,115,Home
C0161,49,F,17444,Laurafort,2023-05-20,trevor31@example.net,+1-389-309-4897x2186,488,3,158,Beauty
C0162,21,F,20602,Ryanside,2024-05-29,myoung@example.org,659.579.0490,522,0,259,Fashion
C0163,47,F,24662,Matthewmouth,2024-02-06,michael35@example.org,(328)775-8534x374,155,8,251,Fashion
C0164,54,F,19940,Bensonberg,2021-05-08,lindalevine@example.org,(432)366-6138,7,1,122,Beauty
C0165,40,M,41895,Sancheztown,2022-06-19,joy21@example.org,+1-980-801-1823x893,1676,1,299,Electronics
C0166,56,F,26806,Crystalberg,2022-03-07,benjaminpowers@example.org,+1-451-757-3470x631,144,3,263,Fashion
C0167,62,F,29553,East Kaylaview,2024-05-29,smorgan@example.net,(534)433-4508x70180,563,2,49,Beauty
C0168,32,M,28714,New Michellefort,2024-04-28,aparker@example.com,+1-533-433-0666x42931,613,2,329,Home
C0169,60,F,35220,Port Sharon,2023-02-17,areyes@example.org,+1-551-441-4358x90704,40624,63,297,Fashion
C0170,46,F,23680,Emilyfurt,2020-10-04,alejandrareese@example.org,(762)308-8382,187,4,362,Electronics
C0171,53,F,13111,Molinachester,2021-11-25,curtiscristina@example.org,621.368.5932x597,158,3,77,Fashion
C0172,30,M,25845,Bryanberg,2021-12-03,daltonkatherine@example.org,478.415.0499x61265,455,7,127,Electronics
C0173,49,M,16974,Andreaside,2022-03-19,teresa99@example.org,978-915-6077x835,1005,3,197,Electronics
C0174,24,Other,17828,Lake Wendy,2024-08-09,baileygabrielle@example.com,(505)675-4875,1466,3,221,Home
C0175,68,F,27848,New Meganton,2021-02-09,melissasmith@example.org,665-856-7144x261,55,3,91,Electronics
C0176,39,M,36145,Thompsonborough,2023-08-16,juarezjeffrey@example.net,+1-480-491-6520x42703,84,5,8,Fashion
C0177,45,F,22214,Lesliestad,2024-04-20,qgregory@example.org,262.832.2997x972,1447,5,32,Fashion
C0178,19,F,24922,Torresmouth,2025-06-11,dlin@example.net,001-326-652-0580x85474,666,4,320,Sports
C0179,59,F,43516,Stacybury,2022-06-19,johnstonbryan@example.net,(802)495-0943x8306,1072,4,269,Fashion
C0180,62,F,24253,Caitlinborough,2021-04-24,nancy03@example.com,378.659.9336x61715,113,2,191,Electronics
C0181,23,M,62359,Johnsontown,2024-01-27,melissa22@example.org,305.925.2601x32482,442,6,349,Electronics
C0182,45,M,27617,Youngfurt,2022-05-07,newmanjacob@example.org,+1-427-353-4647x7042,603,3,163,Home
C0183,45,M,10891,West Kennethville,2024-08-01,lcarroll@example.net,+1-971-916-8851x36719,47305,58,61,Home
C0184,61,F,29772,North Jeremy,2022-01-06,cruzjames@example.net,264-673-9658,262,6,264,Fashion
C0185,61,M,25654,North Matthew,2022-01-12,christinawalker@example.com,539-438-4651x050,7,4,285,Fashion
C0186,37,M,36897,New Julia,2021-08-04,renee57@example.net,001-794-672-2772x6009,437,3,95,Electronics
C0187,47,M,28832,Aaronside,2023-02-23,buchanantracy@example.com,001-451-628-7836x01063,145,3,41,Fashion
C0188,28,F,20839,Richardland,2024-01-16,yrodriguez@example.net,430.440.4576x655,299,6,149,Fashion
C0189,45,F,13497,Holmesmouth,2022-07-07,psmith@example.com,463-430-8546,1580,4,204,Electronics
C0190,42,M,20259,Barrerachester,2022-06-02,turnerlisa@example.com,(669)435-3255x79540,254,2,267,Electronics
C0191,56,M,15674,Hansenton,2024-09-03,john86@example.com,988-718-0940x85924,915,1,2,Electronics
C0192,50,F,17462,Huntfort,2025-01-02,nancy77@example.net,612.887.3245x29016,104,3,178,Electronics
C0193,18,M,27873,Collinsfurt,2022-02-04,whitetracey@example.org,001-988-221-9432x8861,558,4,194,Home
C0194,44,M,42957,South Sara,2024-09-10,erica55@example.net,(229)383-4359x619,1886,5,336,Electronics
C0195,69,M,25793,Lake Courtney,2024-02-07,droberts@example.org,4678487512,53,6,196,Electronics
C0196,30,M,13652,South Amy,2025-02-25,ugraham@example.org,001-274-622-5397,4,2,343,Electronics
C0197,58,M,26313,Carlsonfurt,2023-06-12,jzimmerman@example.org,290-326-2525x0580,284,4,249,Sports
C0198,20,F,35548,Lake Amyton,2025-08-08,coxmercedes@example.com,623.460.1564x4682,48,4,212,Beauty
C0199,56,M,17258,Morenochester,2024-03-28,anthonylee@example.org,(754)957-8023,689,0,153,Electronics
C0200,23,F,20876,West Sonyaborough,2024-11-09,melissaanthony@example.com,+1-980-632-5707x6700,1229,4,158,Fashion
C0201,25,M,22156,Joseberg,2021-04-26,pross@example.org,(857)995-6406,284,5,362,Electronics
C0202,44,F,16091,Briggsburgh,2022-09-16,cherrycourtney@example.net,+1-389-349-2568x933,34398,93,139,Fashion
C0203,26,F,28547,Port Paulview,2022-12-04,jacob94@example.com,5215195388,284,5,221,Electronics
C0204,54,M,20986,East Pamelachester,2021-11-30,chadharris@example.com,001-858-243-6986x66610,642,4,273,Home
C0205,50,F,26051,Curtisshire,2024-12-28,sballard@example.com,(387)289-1650,4,5,154,Fashion
C0206,68,M,15444,South Hollymouth,2024-04-23,valerieclark@example.org,946-894-5217,445,2,249,Beauty
C0207,59,F,18490,Port Richard,2021-03-17,gberg@example.com,001-714-759-6640,475,2,279,Electronics
C0208,61,M,29405,North John,2021-01-13,sfrank@example.net,(899)500-9177,507,0,304,Beauty
C0209,41,M,18974,Port Timothy,2022-07-16,perryanthony@example.net,001-735-653-1215,138,4,276,Beauty
C0210,32,M,43949,Samuelton,2024-05-27,brenda45@example.net,416-371-6483,625,1,2,Electronics
C0211,49,Other,18772,Ortizview,2022-04-01,bergerphillip@example.net,2748499832,47,2,88,Fashion
C0212,49,F,24097,North Ashleyshire,2023-04-17,caroline76@example.com,200.411.7011x922,111,3,287,Electronics
C0213,41,F,31985,Clarkmouth,2020-12-16,kennethwalker@example.net,(757)761-2512,1049,2,130,Electronics
C0214,58,M,12489,New Ericaburgh,2023-02-12,johnwilkins@example.net,(279)698-6901x717,671,2,78,Electronics
C0215,69,F,10890,Beckberg,2021-11-12,nicholas43@example.net,702-761-6816,6,1,260,Home
C0216,66,M,11964,North Noahstad,2023-12-03,lmills@example.org,442.422.8479x11444,142,3,241,Fashion
C0217,66,F,36498,West Kim,2020-12-21,brendan13@example.com,+1-457-340-5543,120,4,141,Sports
C0218,69,M,17663,Harrisfurt,2024-11-14,ugarcia@example.org,240.360.7065,157,6,228,Electronics
C0219,29,M,61284,New Lisa,2023-02-19,urobinson@example.org,854.812.8025,142,3,163,Sports
C0220,56,M,17576,Port Kristin,2023-12-11,awells@example.com,524-877-7008,32,2,236,Electronics
C0221,19,M,23713,Lake Marissamouth,2023-09-25,myersbrittany@example.org,001-585-598-6185x0096,307,3,128,Beauty
C0222,20,F,40816,Barryhaven,2023-08-21,christopher51@example.net,251.727.6363,659,1,200,Fashion
C0223,66,M,49140,South Krystalchester,2025-06-16,mark25@example.org,2738090031,466,2,31,Electronics
C0224,54,F,50241,Roseshire,2025-04-30,qdavis@example.org,308.990.0140x216,558,1,138,Beauty
C0225,66,M,35715,West Benjamin,2024-11-21,osmith@example.com,451-481-3083,42,3,21,Fashion
C0226,34,F,33177,Christinaville,2025-04-30,ygarcia@example.org,+1-392-739-5951,1512,4,234,Home
C0227,66,M,27917,East Laurenside,2023-06-07,rcook@example.com,(570)282-2943,911,2,202,Home
C0228,19,M,30071,Choiton,2022-09-16,hgonzales@example.net,7527611305,817,2,279,Fashion
C0229,19,F,17668,Sullivanberg,2023-07-13,lauren83@example.org,366.757.2049,865,3,131,Fashion
C0230,45,M,15878,Port William,2024-01-01,lglass@example.net,362-806-3958x468,1349,2,148,Home
C0231,40,M,21996,Lake Brookemouth,2025-05-11,fsimmons@example.org,+1-253-578-6495,46059,93,29,Electronics
C0232,54,F,20576,New Jamie,2024-10-12,joshua54@example.net,940-375-1555,111,3,361,Home
C0233,49,F,18374,Debrahaven,2022-10-13,kimburke@example.net,(852)528-4800,479,1,308,Beauty
C0234,50,M,29101,Johnmouth,2023-06-11,justingreen@example.org,+1-212-341-1480x16399,679,6,162,Electronics
C0235,18,M,32277,New Douglas,2024-11-06,lonniefields@example.net,773.387.7144x4721,669,2,357,Electronics
C0236,36,F,22819,West Barbaraview,2021-07-05,crystal44@example.com,453.984.7331,368,2,340,Home
C0237,19,M,39775,New Kimberlyberg,2022-11-14,donna15@example.com,+1-748-994-3135,35,2,61,Fashion
C0238,61,M,13951,Danielshire,2024-07-25,cjohnson@example.net,4499789523,231,4,125,Fashion
C0239,43,M,20384,East Tammy,2022-11-15,anthony22@example.org,001-436-442-2973,1267,1,71,Electronics
C0240,49,F,16535,Roberthaven,2024-01-02,ingramrebecca@example.net,248-597-9389x56923,439,2,326,Fashion
C0241,23,F,10439,West Kellyfurt,2021-02-06,travisrodriguez@example.net,(396)254-1497x129,386,4,364,Electronics
C0242,49,M,21309,South Dariusport,2021-07-03,heidihunter@example.org,001-252-880-4952x0124,156,3,243,Fashion
C0243,21,M,20979,Watkinsshire,2022-09-03,christinachavez@example.net,001-515-770-3521x61286,229,3,249,Beauty
C0244,28,M,40351,New Jerry,2022-11-11,longmichelle@example.net,863.650.7822,1128,3,221,Electronics
C0245,34,F,28348,New Victorville,2025-03-09,garzathomas@example.com,410-832-7210x100,549,6,21,Fashion
C0246,55,M,14622,New Brandon,2021-05-04,hthompson@example.com,452-365-6458x97946,774,3,82,Sports
C0247,41,M,46241,Markport,2021-03-06,vargasalisha@example.com,+1-833-368-3777x13001,20265,72,344,Home
C0248,22,F,35897,Jimstad,2022-04-28,amanda89@example.com,+1-876-223-2700x63670,497,1,10,Beauty
C0249,69,M,27801,Holmesburgh,2023-12-23,emilythomas@example.com,+1-967-609-2804x36650,142,2,12,Fashion
C0250,51,F,20118,North Susanhaven,2020-11-05,kscott@example.org,+1-472-874-3939,611,4,263,Beauty
C0251,23,M,15006,Port David,2022-03-14,lsanchez@example.org,634.705.8376,278,3,145,Electronics
C0252,39,M,18979,North Joseph,2022-11-14,stacey43@example.net,708-322-4801x157,292,3,192,Electronics
